0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/testimonials/testimonials-1.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/clients/client-6.png HTTP/1.1" 404 867
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/counts-img.svg HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/testimonials/testimonials-2.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/testimonials/testimonials-3.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/testimonials/testimonials-4.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/testimonials/testimonials-5.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-1.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-2.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-3.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-4.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-5.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-6.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-7.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-8.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/portfolio/portfolio-9.jpg HTTP/1.1" 404 872
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/team/team-1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/team/team-2.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/team/team-3.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/team/team-4.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/more-services-1.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/more-services-2.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/more-services-3.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:33:16 +0900] "GET /finalProject/assets/img/more-services-4.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/index.html HTTP/1.1" 200 45280
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/aos/aos.css HTTP/1.1" 200 26053
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 194901
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/boxicons/css/boxicons.min.css HTTP/1.1" 200 68028
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 88585
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/remixicon/remixicon.css HTTP/1.1" 200 110438
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/swiper/swiper-bundle.min.css HTTP/1.1" 200 16468
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/glightbox/css/glightbox.min.css HTTP/1.1" 200 13749
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/css/style.css HTTP/1.1" 200 28290
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/purecounter/purecounter_vanilla.js HTTP/1.1" 200 5417
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/aos/aos.js HTTP/1.1" 200 14690
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/glightbox/js/glightbox.min.js HTTP/1.1" 200 55880
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/isotope-layout/isotope.pkgd.min.js HTTP/1.1" 200 35445
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/swiper/swiper-bundle.min.js HTTP/1.1" 200 143629
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/vendor/php-email-form/validate.js HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/js/main.js HTTP/1.1" 200 6315
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/hero-img.png HTTP/1.1" 200 41329
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/clients/client-1.png HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/clients/client-2.png HTTP/1.1" 200 4582
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/clients/client-3.png HTTP/1.1" 200 4707
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/clients/client-4.png HTTP/1.1" 200 9010
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/clients/client-5.png HTTP/1.1" 200 5123
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/clients/client-6.png HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/counts-img.svg HTTP/1.1" 200 46242
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/testimonials/testimonials-1.jpg HTTP/1.1" 200 39727
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/testimonials/testimonials-2.jpg HTTP/1.1" 200 57584
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/testimonials/testimonials-4.jpg HTTP/1.1" 200 20220
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/testimonials/testimonials-3.jpg HTTP/1.1" 200 17247
0:0:0:0:0:0:0:1 - - [16/Dec/2022:23:37:13 +0900] "GET /finalProject/Resource/Vesperr/assets/img/testimonials/testimonials-5.jpg HTTP/1.1" 200 22595
